county_id,year,population_total,population_18_49,poverty_rate,bachelor_share
26001,2013,10785,2812,15.1,13.9
26001,2014,10657,2734,15.7,14
26001,2015,10550,2639,15.2,14.3
26001,2016,10461,2575,14.9,14.5
26001,2017,10413,2540,14.9,15.2
26001,2018,10364,2503,16,15.7
26001,2019,10353,2488,17,16.9
26001,2020,10396,2473,16.3,18.4
26001,2021,10138,2486,15.7,19.4
26001,2022,10238,2473,15.8,20
26003,2013,9497,3449,14.8,14.3
26003,2014,9516,3459,13.9,14.1
26003,2015,9476,3382,14.3,18.4
26003,2016,9396,3322,13.1,18.1
26003,2017,9254,3269,13,17.8
26003,2018,9194,3254,11.6,17.4
26003,2019,9151,3247,11.2,17.4
26003,2020,9098,3215,10.7,19.3
26003,2021,8911,3162,11.2,17.9
26003,2022,8866,3149,10.3,20.7
26005,2013,111742,43936,13.5,20.3
26005,2014,112266,43614,13.7,20.2
26005,2015,112837,43391,12.7,21.5
26005,2016,113666,43459,11.7,21.4
26005,2017,114145,43687,10.8,22.3
26005,2018,115250,43955,10.3,22.7
26005,2019,116143,44195,10.4,22.6
26005,2020,117104,44452,8.8,23.6
26005,2021,119418,45287,8.9,23.7
26005,2022,120189,45756,9.5,24.1
26007,2013,29399,10459,17.3,16.5
26007,2014,29242,10219,17.5,15.1
26007,2015,29068,10053,17.2,16.5
26007,2016,28929,9899,16.3,16.8
26007,2017,28730,9789,15,17.3
26007,2018,28612,9687,14.4,17.5
26007,2019,28520,9735,14.3,18
26007,2020,28431,9690,14.4,18
26007,2021,28913,9849,14.9,16.8
26007,2022,28911,9945,16.5,16.7
26009,2013,23504,7592,15.4,24.7
26009,2014,23368,7420,14.1,25.5
26009,2015,23267,7301,14.5,25.3
26009,2016,23215,7175,12.9,26.7
26009,2017,23133,7099,12.6,26.9
26009,2018,23177,7060,12,28.2
26009,2019,23206,7011,11,28.8
26009,2020,23301,6944,10.3,29.6
26009,2021,23427,7052,9.8,30
26009,2022,23662,7209,9.4,32.5
26011,2013,15753,5497,18.1,9.9
26011,2014,15564,5312,18.8,10.3
26011,2015,15424,5167,19.9,11.7
26011,2016,15327,5086,19.2,11.4
26011,2017,15238,4976,18.5,11.6
26011,2018,15165,4916,18.2,11.8
26011,2019,15070,4811,17.1,12.6
26011,2020,15013,4782,14.5,12.9
26011,2021,15009,4727,13.9,14.3
26011,2022,15031,4752,13.6,14.6
26013,2013,8787,3756,13.2,8.1
26013,2014,8740,3764,15.3,8.7
26013,2015,8690,3772,15.6,13.1
26013,2016,8612,3681,15,15.6
26013,2017,8580,3457,14.4,15.5
26013,2018,8507,3284,16.4,14.5
26013,2019,8421,3200,14.8,15.8
26013,2020,8337,3143,14.2,15.2
26013,2021,8249,3085,13.5,14.7
26013,2022,8245,3106,12.2,15.6
26015,2013,59121,22457,11.7,17
26015,2014,59107,22178,11.2,16.6
26015,2015,59147,21974,11,19.2
26015,2016,59316,21856,9.3,18.9
26015,2017,59607,21861,9.3,19.5
26015,2018,60057,21975,8.7,20.1
26015,2019,60540,22199,7.7,21.1
26015,2020,61045,22457,7.9,23
26015,2021,62014,22929,8.6,24.1
26015,2022,62581,23165,8.3,23.6
26017,2013,107312,42001,14.7,18.5
26017,2014,107074,41555,15.6,19
26017,2015,106698,41059,15,18.3
26017,2016,106107,40554,15.8,18.1
26017,2017,105350,40017,16.3,19
26017,2018,104786,39508,16,18.9
26017,2019,104104,39080,15.8,19.3
26017,2020,103506,38741,16.1,19.7
26017,2021,104050,38932,15.4,20.3
26017,2022,103752,38778,15.3,20.1
26019,2013,17474,6024,13.3,23.5
26019,2014,17450,5892,12,24
26019,2015,17437,5759,11.6,24.2
26019,2016,17462,5709,11.2,25.6
26019,2017,17462,5622,10,28.6
26019,2018,17552,5588,9.5,29.3
26019,2019,17615,5506,9.5,30.3
26019,2020,17703,5614,10.2,32.5
26019,2021,17926,5640,10,32.8
26019,2022,18058,5838,10.4,32.4
26021,2013,156290,60529,17.5,26.2
26021,2014,155992,59951,17.6,26.4
26021,2015,155565,59331,17.7,26.1
26021,2016,155134,58849,17.9,26.8
26021,2017,154948,58328,17.2,26.7
26021,2018,154807,58153,16.5,27.7
26021,2019,154133,57672,16.1,27.8
26021,2020,153797,57394,16.3,27.6
26021,2021,154263,57374,15.9,29
26021,2022,153938,57322,15.7,30.1
26023,2013,44398,17586,18.7,13
26023,2014,43965,17183,18.2,12.1
26023,2015,43706,16742,17.7,13.5
26023,2016,43603,16499,17.9,13.6
26023,2017,43543,16301,15.9,14
26023,2018,43584,16236,15.5,14.2
26023,2019,43513,16170,15.8,14.4
26023,2020,43428,16060,15.5,15
26023,2021,44677,16640,13,15.4
26023,2022,44795,16704,15,16.1
26025,2013,135534,54689,17.8,20.3
26025,2014,135150,54014,17.2,20.4
26025,2015,134790,53346,17.5,20.1
26025,2016,134691,52988,17,20.8
26025,2017,134327,52794,17.4,21
26025,2018,134473,52773,16.9,21.2
26025,2019,134212,52611,16.4,21
26025,2020,133943,52428,16.7,21.5
26025,2021,134207,52589,15.8,21.8
26025,2022,134011,52387,14.8,22
26027,2013,52212,19373,14.5,15.2
26027,2014,52001,19088,14.3,16
26027,2015,51952,18951,14.7,16.9
26027,2016,51795,18652,14.9,17.4
26027,2017,51397,18508,13.6,18.1
26027,2018,51460,18420,12.1,19.1
26027,2019,51523,18350,12.1,19.2
26027,2020,51613,18240,12,20.7
26027,2021,51632,18124,12.4,20.9
26027,2022,51604,18222,12.9,21.2
26029,2013,26030,9013,13.3,28.9
26029,2014,26038,8873,13.4,28.7
26029,2015,26134,8834,12.3,27.9
26029,2016,26172,8741,12.4,28.5
26029,2017,26160,8585,11.6,30.3
26029,2018,26219,8556,10.8,31
26029,2019,26188,8507,10.1,31.1
26029,2020,26197,8504,9.7,32.4
26029,2021,26109,8498,9,32.5
26029,2022,26174,8491,8.6,33
26031,2013,25985,8733,17.8,17.8
26031,2014,25821,8538,17.8,18.6
26031,2015,25690,8411,18.2,18.1
26031,2016,25579,8331,18.6,18.3
26031,2017,25475,8234,16.8,19.5
26031,2018,25458,8175,14.8,20.5
26031,2019,25418,8122,14.9,20.7
26031,2020,25435,8066,13.1,21.8
26031,2021,25654,8144,12.5,22.7
26031,2022,25709,8194,11.9,22.5
26033,2013,38760,17520,17.7,15.8
26033,2014,38698,17071,18.7,16.7
26033,2015,38586,16820,18.9,19.1
26033,2016,38330,16856,17.7,19.7
26033,2017,38023,16655,17.1,20.7
26033,2018,37834,16528,18.5,21
26033,2019,37629,16309,18.4,21.2
26033,2020,37418,16192,16.9,22.6
26033,2021,37091,16134,17.7,23.4
26033,2022,36670,16107,16.5,22.9
26035,2013,30823,10851,26.5,10.4
26035,2014,30786,10721,27.1,9.5
26035,2015,30710,10548,26.1,11.6
26035,2016,30608,10426,24.2,11.4
26035,2017,30597,10329,23.6,12.1
26035,2018,30616,10245,23.5,12.1
26035,2019,30651,10205,22.7,12.6
26035,2020,30655,10139,22.7,12.1
26035,2021,30827,10083,23.7,12.1
26035,2022,30998,10212,22.1,12.2
26037,2013,75802,31453,11.1,27.1
26037,2014,76479,31259,11.6,27.4
26037,2015,76905,30960,11.8,29.7
26037,2016,77245,30792,11.4,30.7
26037,2017,77321,30801,10.1,31.5
26037,2018,77896,30776,9.3,31.4
26037,2019,78389,30812,8.8,32.1
26037,2020,78957,31003,8.3,32.1
26037,2021,78895,30914,8.5,32.6
26037,2022,79249,30973,9.6,32.2
26039,2013,14017,4752,16.8,13.7
26039,2014,13941,4664,14.6,14
26039,2015,13895,4533,15.2,17.2
26039,2016,13840,4416,17.2,16.7
26039,2017,13821,4347,16.4,17.6
26039,2018,13836,4344,15.4,18.8
26039,2019,13892,4288,16.3,19.4
26039,2020,13904,4214,16,19.1
26039,2021,13102,3973,15.2,21.2
26039,2022,13197,4052,13.8,19.6
26041,2013,36967,13006,16.4,19
26041,2014,36841,12748,17.2,18.6
26041,2015,36712,12586,17.2,18.9
26041,2016,36570,12392,16.6,20.6
26041,2017,36395,12175,14.4,20.7
26041,2018,36190,12044,13.3,21.5
26041,2019,36026,11931,12.9,21
26041,2020,35874,11863,12.9,19.2
26041,2021,36836,12194,12.4,18.8
26041,2022,36839,12234,13.2,19.7
26043,2013,26201,9369,12.7,21.2
26043,2014,26097,9275,13.4,22.3
26043,2015,26012,9196,13.8,22.4
26043,2016,25889,9051,14.6,23.4
26043,2017,25694,8918,15.2,25.5
26043,2018,25570,8797,13.3,26.5
26043,2019,25439,8661,11.7,25.7
26043,2020,25373,8443,10.1,24.4
26043,2021,25954,8630,9.4,23.5
26043,2022,25937,8746,9.7,23.9
26045,2013,107920,43391,10.8,24.9
26045,2014,108081,43126,10.4,24.6
26045,2015,108341,43026,10.8,24.7
26045,2016,108544,42984,11.1,25.2
26045,2017,108586,42928,10.9,26.1
26045,2018,109155,43131,10.7,26.8
26045,2019,109456,43173,10.1,27.8
26045,2020,109730,43280,8.6,29.2
26045,2021,108972,43084,7.8,30.3
26045,2022,109072,43093,7.6,30.3
26047,2013,32858,12084,10.9,33.7
26047,2014,32922,11972,11,35.6
26047,2015,33018,11949,10.8,33.2
26047,2016,33091,11897,10.5,32.9
26047,2017,32978,11870,10.7,32.9
26047,2018,33039,11938,9.5,33.7
26047,2019,33104,11916,9.1,33.4
26047,2020,33175,11958,8.9,34.7
26047,2021,33946,12308,7.8,37
26047,2022,34072,12389,8.4,37.9
26049,2013,421575,171457,21,18.9
26049,2014,418654,168730,21.2,19
26049,2015,415874,166087,20.9,19.3
26049,2016,413090,163816,20.9,19.9
26049,2017,410881,161890,20,20.4
26049,2018,409361,160609,19.8,20.9
26049,2019,407875,159394,18.9,21.2
26049,2020,406770,158579,18,21.5
26049,2021,406400,157991,16.9,22.2
26049,2022,405280,157868,16.2,22.8
26051,2013,25664,8445,21.4,12.6
26051,2014,25599,8316,19.9,12.9
26051,2015,25501,8181,20.7,12.3
26051,2016,25367,8010,20.3,13.4
26051,2017,25324,7912,20.2,13.6
26051,2018,25289,7830,18.2,13.8
26051,2019,25279,7759,16.9,13.5
26051,2020,25312,7640,15.1,14.3
26051,2021,25344,7666,15.1,14.2
26051,2022,25461,7703,14.2,14.4
26053,2013,16179,6038,20.3,17.6
26053,2014,16042,5981,20.3,17.6
26053,2015,15824,5870,20.2,18.3
26053,2016,15650,5757,20.6,17.5
26053,2017,15577,5692,20.4,18.4
26053,2018,15414,5569,18.1,19.8
26053,2019,15061,5297,17,19.4
26053,2020,14715,5050,15.2,19.8
26053,2021,14858,4972,13.6,21.7
26053,2022,14597,4728,14.1,22.4
26055,2013,88182,35497,11.7,31
26055,2014,88981,35451,11.7,30.9
26055,2015,89907,35536,11,31.5
26055,2016,90715,35437,9.8,31.7
26055,2017,91222,35249,9.7,34.2
26055,2018,91746,35131,10.1,35.1
26055,2019,92181,35198,9.6,36
26055,2020,92640,35220,10.2,38.4
26055,2021,94562,35853,10.5,38.4
26055,2022,95315,36354,10.4,38.7
26057,2013,42148,18764,19.1,12.7
26057,2014,42057,18553,18.8,12.2
26057,2015,41878,18349,18.9,14.1
26057,2016,41676,18141,19,14.3
26057,2017,41319,17936,20.5,14.7
26057,2018,41067,17697,18.3,14
26057,2019,40916,17608,16.7,15.4
26057,2020,40692,17676,15.8,16.5
26057,2021,41758,18080,15.2,16.8
26057,2022,41534,18183,14.1,18.1
26059,2013,46463,17995,19.7,15
26059,2014,46282,17736,20.1,15.5
26059,2015,46178,17491,20.1,15.5
26059,2016,46024,17323,18.6,16.7
26059,2017,45909,17164,17,16.8
26059,2018,45830,16981,16,17
26059,2019,45757,16923,16.2,17.3
26059,2020,45707,16850,15.2,18.9
26059,2021,45673,16858,15.4,18.3
26059,2022,45698,16708,15.2,19.6
26061,2013,36494,16846,23,31.1
26061,2014,36739,16957,22.2,31
26061,2015,36660,16813,21.4,31.1
26061,2016,36565,16733,22.8,31
26061,2017,36333,16579,21.4,32.9
26061,2018,36360,16683,20.9,33.2
26061,2019,36070,16518,20.2,32.6
26061,2020,35890,16361,19,33.6
26061,2021,37485,17087,17.2,33.6
26061,2022,37414,17588,17.3,35.8
26063,2013,32751,11052,15.8,12.7
26063,2014,32525,10835,15.5,12.6
26063,2015,32290,10652,14.1,14.1
26063,2016,32021,10484,13.9,14.9
26063,2017,31750,10313,13.6,15.5
26063,2018,31543,10149,12.9,15.5
26063,2019,31349,9969,13,16
26063,2020,31105,9864,12.5,16
26063,2021,31542,9965,11.8,16.2
26063,2022,31461,9973,11.3,16.6
26065,2013,281531,142686,21.9,37.3
26065,2014,282562,142635,22.3,37
26065,2015,283491,142554,22.4,37.2
26065,2016,284559,142815,22.2,37.7
26065,2017,286185,143079,20.9,38.4
26065,2018,289564,144750,20.1,38.5
26065,2019,290587,145270,19.6,38.9
26065,2020,290923,145213,18.4,39.2
26065,2021,285660,142245,17.5,40.6
26065,2022,282540,140515,16.5,40.6
26067,2013,63909,28200,15.8,11.9
26067,2014,63976,27837,15.4,12.6
26067,2015,64064,27962,15.1,14.9
26067,2016,64126,27651,14.3,15.6
26067,2017,64147,27309,13.1,16.2
26067,2018,64176,26924,12.8,16.1
26067,2019,64300,27013,11.8,16.4
26067,2020,64401,27605,10.5,17
26067,2021,66564,28375,10,16.1
26067,2022,66663,29001,10.3,16.8
26069,2013,25662,7820,19,14.4
26069,2014,25504,7785,18.5,14.2
26069,2015,25401,7684,17.7,16.1
26069,2016,25373,7606,16.9,16.3
26069,2017,25317,7466,16.9,16.6
26069,2018,25247,7490,16.4,16.3
26069,2019,25197,7499,15.2,15.9
26069,2020,25213,7440,14.6,15.4
26069,2021,25262,7473,13.7,16.1
26069,2022,25319,7490,15.1,16.3
26071,2013,11723,3479,14.2,18.7
26071,2014,11615,3339,14.6,20.4
26071,2015,11507,3256,15.6,19.3
26071,2016,11393,3221,17.2,18.1
26071,2017,11291,3144,14.2,18.5
26071,2018,11212,3123,14,18.8
26071,2019,11152,3123,13.1,18.5
26071,2020,11099,3148,14.9,18.9
26071,2021,11580,3256,15.3,19.2
26071,2022,11585,3314,14.7,19.9
26073,2013,70400,40363,31.5,25.3
26073,2014,70506,40141,31.8,25.6
26073,2015,70669,39964,30.2,27.3
26073,2016,70574,39471,28.8,28.2
26073,2017,70572,39099,27.3,29.4
26073,2018,70775,38815,26.5,29.2
26073,2019,70688,38518,26,29.1
26073,2020,70363,37959,24.6,29.5
26073,2021,65623,35017,23.8,30.2
26073,2022,64938,34923,23.6,30.7
26075,2013,160126,66320,17,17.2
26075,2014,159927,65590,17.5,17.4
26075,2015,159759,64773,17,20
26075,2016,159483,64232,16.7,20.6
26075,2017,158989,63639,15.2,21.1
26075,2018,158913,63312,14.1,21.4
26075,2019,158636,62918,13.8,22.2
26075,2020,158174,62301,12.4,22.5
26075,2021,160765,63224,12,22.6
26075,2022,160637,63997,12.1,22.5
26077,2013,252763,117671,19.1,35.2
26077,2014,254870,118310,19.1,35
26077,2015,256752,118875,18.3,35.1
26077,2016,258605,119648,17.5,36.1
26077,2017,259830,120176,16.7,37.2
26077,2018,261573,120864,16.1,38.1
26077,2019,262745,121382,14.9,38.8
26077,2020,264322,122170,14.4,39.8
26077,2021,261280,120623,14.3,40.4
26077,2022,261426,121239,13.4,40.5
26079,2013,17142,6381,16.3,10.6
26079,2014,17204,6304,17,11.1
26079,2015,17230,6216,17,12.7
26079,2016,17259,6173,16.8,13.6
26079,2017,17358,6228,18.5,12.5
26079,2018,17463,6277,17,11.9
26079,2019,17585,6328,16.7,11.9
26079,2020,17725,6334,16.4,14.4
26079,2021,17813,6500,15.9,15.9
26079,2022,17934,6569,14.7,17.3
26081,2013,609544,269689,15.5,32.5
26081,2014,615381,270541,15.5,33.1
26081,2015,622590,272611,15.3,33.3
26081,2016,629352,274906,14.9,33.7
26081,2017,636376,277635,13.4,34.7
26081,2018,643140,280832,12.6,35.2
26081,2019,648121,283222,11.7,35.7
26081,2020,652617,285448,11.1,36.8
26081,2021,654958,286481,10.4,38.1
26081,2022,657321,290097,10.7,38.6
26083,2013,2181,614,15.8,24.1
26083,2014,2197,598,18,24.5
26083,2015,2198,576,15.3,22.8
