cid,tau_i_pp,tau_centered,tau_tilde,rank,decile,pre_policy_weight
26163,2.60121966356721,2.61423101141998,0.5,1,8,
26099,0.312383913886992,0.32539526173976,0.37539526173976,2,8,
26049,0.305343140905157,0.318354488757925,0.368354488757925,3,8,
26021,0.124539337663959,0.137550685516727,0.187550685516727,4,8,
26145,0.113829111676401,0.126840459529169,0.176840459529169,5,8,
26121,0.0950256329574777,0.108036980810246,0.158036980810246,6,8,
26053,0.0558779931354046,0.0688893409881729,0.118889340988173,7,8,
26095,0.0553300607090633,0.0683414085618316,0.118341408561832,8,8,
26125,0.0542228180413719,0.0672341658941402,0.11723416589414,9,8,
26109,0.0367678652522861,0.0497792131050544,0.0997792131050544,10,7,
26035,0.0249942405426176,0.0380055883953859,0.0880055883953859,11,7,
26025,0.0244993467489402,0.0375106946017085,0.0875106946017085,12,7,
26027,0.0240686881610762,0.0370800360138445,0.0870800360138445,13,7,
26089,0.0202508551443707,0.033262202997139,0.083262202997139,14,7,
26107,0.01615729308424,0.0291686409370083,0.0791686409370083,15,7,
26085,0.0128003247430364,0.0258116725958047,0.0758116725958047,16,7,
26075,0.0109150012166458,0.0239263490694141,0.0739263490694141,17,7,
26003,0.00912418586195265,0.022135533714721,0.072135533714721,18,6,
26079,0.00735757056962417,0.0203689184223925,0.0703689184223925,19,6,
26073,0.00514101996696468,0.018152367819733,0.068152367819733,20,6,
26129,0.00434394278745561,0.0173552906402239,0.0673552906402239,21,6,
26071,0.00415531114069989,0.0171666589934682,0.0671666589934682,22,6,
26061,0.00125009100456338,0.0142614388573317,0.0642614388573317,23,6,
26047,-0.00266390851481137,0.010347439337957,0.060347439337957,24,6,
26059,-0.00537715535776824,0.00763419249500009,0.0576341924950001,25,6,
26113,-0.0144325884962857,-0.00142124064351737,0.0485787593564826,26,5,
26023,-0.015472376704273,-0.00246102885150467,0.0475389711484953,27,5,
26165,-0.0162136418447078,-0.00320229399193947,0.0467977060080605,28,5,
26057,-0.0164141710640842,-0.00340282321131587,0.0465971767886841,29,5,
26105,-0.0166396415442959,-0.00362829369152757,0.0463717063084724,30,5,
26119,-0.0168550573011743,-0.00384370944840597,0.046156290551594,31,5,
26069,-0.0172469441501301,-0.00423559629736177,0.0457644037026382,32,5,
26123,-0.0174167648772411,-0.00440541702447277,0.0455945829755272,33,5,
26133,-0.017760774963408,-0.00474942711063967,0.0452505728893603,34,4,
26001,-0.018112763079544,-0.00510141522677567,0.0448985847732243,35,4,
26135,-0.0187177874968528,-0.00570643964408447,0.0442935603559155,36,4,
26101,-0.0190819073123028,-0.00607055945953447,0.0439294405404655,37,4,
26065,-0.0218387367167203,-0.00882738886395197,0.041172611136048,38,4,
26033,-0.0234236465644469,-0.0104122987116786,0.0395877012883214,39,4,
26117,-0.0271230731738442,-0.0141117253210759,0.0358882746789241,40,4,
26013,-0.0317493915760685,-0.0187380437233002,0.0312619562766998,41,4,
26007,-0.0318460771425825,-0.0188347292898142,0.0311652707101858,42,3,
26031,-0.0327345667166321,-0.0197232188638638,0.0302767811361362,43,3,
26143,-0.0332922272305765,-0.0202808793778082,0.0297191206221918,44,3,
26103,-0.0354549770950195,-0.0224436292422512,0.0275563707577488,45,3,
26039,-0.0379128108867839,-0.0249014630340156,0.0250985369659844,46,3,
26127,-0.0394695910411992,-0.0264582431884309,0.0235417568115691,47,3,
26131,-0.0394804342684238,-0.0264690864156555,0.0235309135843445,48,3,
26151,-0.0409612091504402,-0.0279498612976719,0.0220501387023281,49,3,
26055,-0.04276903275876,-0.0297576849059917,0.0202423150940083,50,3,
26077,-0.0486918170319101,-0.0356804691791418,0.0143195308208582,51,2,
26051,-0.050402034442547,-0.0373906865897787,0.0126093134102213,52,2,
26091,-0.0519670091669706,-0.0389556613142023,0.0110443386857977,53,2,
26149,-0.0573239074053334,-0.0443125595525651,0.00568744044743493,54,2,
26041,-0.0591285562476163,-0.046117208394848,0.00388279160515203,55,2,
26063,-0.0597389256463187,-0.0467275777935504,0.00327242220644963,56,2,
26009,-0.0611775343175323,-0.048166186464764,0.00183381353523603,57,2,
26043,-0.0611801950785944,-0.0481688472258261,0.00183115277417393,58,2,
26019,-0.0618488669149781,-0.0488375190622098,0.00116248093779023,59,1,
26005,-0.146672093711674,-0.133660745858906,0,60,1,
26011,-0.0677315919999103,-0.054720244147142,0,61,1,
26015,-0.177039757956603,-0.164028410103835,0,62,1,
26017,-0.0727676484996064,-0.0597563006468381,0,63,1,
26029,-0.0897922792194705,-0.0767809313667022,0,64,1,
26037,-0.357613630337536,-0.344602282484768,0,65,1,
26045,-0.309005020745387,-0.295993672892619,0,66,1,
26067,-0.158638190522139,-0.145626842669371,0,67,1,
26081,-0.13777417454717,-0.124762826694402,0,68,1,
26083,-0.0875010987963546,-0.0744897509435863,0,69,1,
26087,-0.173314446500029,-0.160303098647261,0,70,1,
26093,-0.467667309949524,-0.454655962096756,0,71,1,
26097,-0.106464487409855,-0.0934531395570867,0,72,1,
26111,-0.269440022147545,-0.256428674294777,0,73,1,
26115,-0.0957745209340821,-0.0827631730813138,0,74,1,
26137,-0.0861149102104129,-0.0731035623576446,0,75,1,
26139,-0.344616338140043,-0.331604990287275,0,76,1,
26141,-0.127703206754237,-0.114691858901469,0,77,1,
26147,-0.0717038459720702,-0.0586924981193019,0,78,1,
26153,-0.105794610520796,-0.0927832626680277,0,79,1,
26155,-0.140060197901902,-0.127048850049134,0,80,1,
26157,-0.0638916355659383,-0.05088028771317,0,81,1,
26159,-0.086342075947303,-0.0733307280945347,0,82,1,
26161,-0.0941960829775164,-0.0811847351247481,0,83,1,
