estimate,std_error,t_value,p_value,term,event_time,outcome,conf_low,conf_high
-0.2197178027066501,0.06693453351716917,-3.282577634612049,0.0015128281008447205,week_start_date::-26,-26,grocery,-0.3509094884003017,-0.0885261170129985
-0.11253355428849252,0.05217897578657436,-2.1566838480844113,0.033958773645900726,week_start_date::-25,-25,grocery,-0.21480434683017824,-0.010262761746806778
-0.15610945912011268,0.05725390991756469,-2.7266165637400515,0.007822999490335807,week_start_date::-24,-24,grocery,-0.26832712255853947,-0.043891795681685886
-0.15877893266432144,0.05743406919681112,-2.764542629222887,0.007038434699636019,week_start_date::-23,-23,grocery,-0.2713497082900712,-0.046208157038571646
-0.16324588983866944,0.06312463943101618,-2.5860882740893545,0.011474715400578563,week_start_date::-22,-22,grocery,-0.2869701831234611,-0.03952159655387774
-0.1654700045344443,0.060274016496132926,-2.745295803292959,0.007427123720050749,week_start_date::-21,-21,grocery,-0.2836070768668648,-0.04733293220202377
-0.1840452167924583,0.054232572395243664,-3.393628748626343,0.0010645851077132177,week_start_date::-20,-20,grocery,-0.2903410586871359,-0.07774937489778072
-0.1320664023489466,0.055576146385125355,-2.376314497118379,0.01981732960361049,week_start_date::-19,-19,grocery,-0.2409956492637923,-0.0231371554341009
-0.18808270205183356,0.05664702725866726,-3.3202572342056316,0.0013439101897905986,week_start_date::-18,-18,grocery,-0.29911087547882137,-0.07705452862484573
-0.09942486211284347,0.043674755135116185,-2.2764835613904117,0.02542340877048082,week_start_date::-17,-17,grocery,-0.18502738217767117,-0.01382234204801576
-0.10701011954416495,0.04392904571835285,-2.435976420481582,0.01701838523908882,week_start_date::-16,-16,grocery,-0.19311104915213653,-0.020909189936193368
-0.12256129417481951,0.043989759166783174,-2.786132420278536,0.006624625518178848,week_start_date::-15,-15,grocery,-0.20878122214171452,-0.03634136620792448
-0.10823825794031186,0.04110465989839708,-2.6332357014473855,0.010105976634251113,week_start_date::-14,-14,grocery,-0.18880339134117013,-0.027673124539453586
-0.13091704610848537,0.04141906981754289,-3.1607915553196695,0.002204990407561599,week_start_date::-13,-13,grocery,-0.21209842295086945,-0.049735669266101304
-0.08167157016735155,0.03752798878400771,-2.1762842298161025,0.03241100408144991,week_start_date::-12,-12,grocery,-0.15522642818400667,-0.00811671215069644
-0.08476180379031778,0.043472476305304694,-1.949780895733671,0.05462001523859606,week_start_date::-11,-11,grocery,-0.16996785734871497,4.442497680794133e-4
-0.03690012855579714,0.03803243385160161,-0.9702279033673574,0.3347860942036577,week_start_date::-10,-10,grocery,-0.1114436989049363,0.037643441793342024
0.03310813104524971,0.06334347398576563,0.5226762752653837,0.6026089187004264,week_start_date::-9,-9,grocery,-0.09104507796685093,0.15726134005735035
-0.03598313534085605,0.028885554855698607,-1.2457138358814395,0.21641710686865817,week_start_date::-8,-8,grocery,-0.09259882285802531,0.02063255217631322
-0.057946466404124444,0.035573022279080775,-1.6289441461992589,0.10716091583841535,week_start_date::-7,-7,grocery,-0.12766959007112277,0.011776657262873871
0.034305771711768795,0.023282812567040425,1.4734376103827196,0.14446159634132252,week_start_date::-6,-6,grocery,-0.01132854091963044,0.07994008434316803
0.034875662677568794,0.030644836064627368,1.1380600178124292,0.2584096770635522,week_start_date::-5,-5,grocery,-0.025188216009100844,0.09493954136423843
0.08187230460262117,0.028015144217586326,2.9224302386859162,0.0044867528659293734,week_start_date::-4,-4,grocery,0.026962621936151968,0.13678198726909035
0.133496417756892,0.06164425231140075,2.1655939159181368,0.03324737443328356,week_start_date::-3,-3,grocery,0.012673683226546537,0.25431915228723745
0.10150427517050228,0.021605441204602255,4.6980885143359385,1.043875519076951e-5,week_start_date::-2,-2,grocery,0.059157610409481864,0.1438509399315227
0.0712849220399154,0.01946524559646095,3.6621640187717945,4.417546949974483e-4,week_start_date::0,0,grocery,0.033133040670851946,0.10943680340897886
0.06934805832733788,0.03058765849689421,2.2671908127383893,0.026010383112804257,week_start_date::1,1,grocery,0.009396247673425236,0.12929986898125054
0.0641266758837341,0.027657113380769347,2.3186322809929583,0.022905188296538627,week_start_date::2,2,grocery,0.009918733657426175,0.118334618110042
0.043642514917417795,0.023177115633502367,1.8830002666221688,0.06324616789510584,week_start_date::3,3,grocery,-0.0017846317242468449,0.08906966155908244
0.03818635459699091,0.024658579061842007,1.5486032062602706,0.1253281754484121,week_start_date::4,4,grocery,-0.010144460364219426,0.08651716955820124
0.05840815320676322,0.025317222964294023,2.30705213163145,0.02357408803511311,week_start_date::5,5,grocery,0.00878639619674694,0.1080299102167795
0.06371261049754319,0.027677578731270414,2.301957520061537,0.02387379377293674,week_start_date::6,6,grocery,0.009464556184253181,0.1179606648108332
0.07794648121514755,0.03132596151446603,2.488239065835301,0.014862682680467204,week_start_date::7,7,grocery,0.01654759664679413,0.13934536578350099
0.06201517583462786,0.025612386173638983,2.421296298368939,0.01767219795608702,week_start_date::8,8,grocery,0.01181489893429545,0.11221545273496027
0.09696646926557877,0.02635117874739016,3.6797772955482078,4.163934864632113e-4,week_start_date::9,9,grocery,0.04531815892069405,0.1486147796104635
0.09997520647042366,0.025263934879008552,3.9572302156894668,1.6046531740918543e-4,week_start_date::10,10,grocery,0.050457894107566896,0.1494925188332804
0.11265786283342388,0.027756350116473844,4.058814014114904,1.1204111350131633e-4,week_start_date::11,11,grocery,0.05825541660513515,0.16706030906171263
0.08262906024479487,0.02892396246107055,2.856768340645141,0.0054215557344761325,week_start_date::12,12,grocery,0.02593809382109659,0.13932002666849314
0.09915096762252579,0.060453011273979125,1.6401328161001547,0.10480840797334132,week_start_date::13,13,grocery,-0.019336934474473294,0.21763886971952487
0.11318266336669525,0.02540533196616731,4.45507515971145,2.6299104333023656e-5,week_start_date::14,14,grocery,0.06338821271300732,0.16297711402038317
0.0761820114042281,0.03269778673520187,2.329882815041174,0.022271463494336556,week_start_date::15,15,grocery,0.012094349403232438,0.14026967340522378
0.039273519191934086,0.03338432195777565,1.1764060759301047,0.24283651634971268,week_start_date::16,16,grocery,-0.026159751845306195,0.10470679022917437
0.038396328302970725,0.03580571416652592,1.0723519750058979,0.28670783036770037,week_start_date::17,17,grocery,-0.031782871463420084,0.10857552806936153
0.040837507178021974,0.032578713157616714,1.2535027697518004,0.2135850197191333,week_start_date::18,18,grocery,-0.023016770610906782,0.10469178496695072
-0.04399960095413015,0.03812845814852941,-1.1539832212131345,0.2518593387750111,week_start_date::19,19,grocery,-0.1187313789252478,0.030732177016987494
-0.12726332667421286,0.04861674258694149,-2.617685182149491,0.010540132970273602,week_start_date::20,20,grocery,-0.2225521421446182,-0.03197451120380754
-0.03764806559068344,0.04450885505042152,-0.8458556291334413,0.40009485365456743,week_start_date::21,21,grocery,-0.12488542148950962,0.04958929030814274
-0.055742529461530396,0.04167305661735251,-1.3376155719357388,0.18471999932272423,week_start_date::22,22,grocery,-0.13742172043154133,0.02593666150848052
-0.09803771705940763,0.04002126721013132,-2.4496405010031648,0.016429336241720344,week_start_date::23,23,grocery,-0.176479400791265,-0.019596033327550236
-0.14002199415519168,0.04415957526583559,-3.1708184082902813,0.0021383861533376732,week_start_date::24,24,grocery,-0.22657476167622942,-0.05346922663415392
-0.16709781492215287,0.04578462924715665,-3.649648750459852,4.6066031017142495e-4,week_start_date::25,25,grocery,-0.2568356882465799,-0.07735994159772583
-0.2979370899070439,0.0649867130296815,-4.584584694581592,1.6123042616056152e-5,week_start_date::26,26,grocery,-0.42531104744521964,-0.17056313236886814
-0.1865996136423588,0.06671950089370593,-2.7967777207991964,0.006428896957559532,week_start_date::-26,-26,fast_food,-0.3173698353940224,-0.05582939189069519
-0.08581254878640686,0.05106304970460941,-1.680521419751015,0.09666172034670432,week_start_date::-25,-25,fast_food,-0.1858961262074413,0.014271028634627592
-0.15210221338155938,0.052974299038764605,-2.8712454179007953,0.005201254279662105,week_start_date::-24,-24,fast_food,-0.255931839497538,-0.04827258726558076
-0.11854849576768531,0.05152363183769831,-2.3008567435835707,0.023938990653054805,week_start_date::-23,-23,fast_food,-0.219534814169574,-0.017562177365796627
-0.11408082956384913,0.048755506048440714,-2.3398553068140626,0.02172276077353259,week_start_date::-22,-22,fast_food,-0.20964162141879294,-0.018520037708905326
-0.09830796704039417,0.046411205963365905,-2.1181946256253785,0.03718617952933209,week_start_date::-21,-21,fast_food,-0.18927393072859133,-0.0073420033521969935
-0.10788203223942232,0.04144217331352029,-2.6031943697370323,0.010959837408408925,week_start_date::-20,-20,fast_food,-0.1891086919339221,-0.026655372544922548
-0.07404598734654395,0.036109496562208576,-2.0505959483256517,0.043500226151786864,week_start_date::-19,-19,fast_food,-0.14482060060847277,-0.003271374084615142
-0.12735231428285335,0.04192389115437634,-3.037702626741013,0.0031966466472690834,week_start_date::-18,-18,fast_food,-0.20952314094543098,-0.04518148762027571
-0.06611104849050738,0.04092596253110474,-1.6153816404503951,0.11006945724712938,week_start_date::-17,-17,fast_food,-0.14632593505147268,0.01410383807045791
-0.06385471263774013,0.03724273415828344,-1.7145549079816342,0.09020420016025209,week_start_date::-16,-16,fast_food,-0.1368504715879757,0.009141046312495418
-0.03308580989078482,0.03324402163060277,-0.9952408964963401,0.3225469580355187,week_start_date::-15,-15,fast_food,-0.09824409228676625,0.032072472505196604
-0.037077217749998545,0.032537249167950734,-1.1395314200845132,0.25779938867306146,week_start_date::-14,-14,fast_food,-0.10085022611918198,0.026695790619184895
-0.08059533930991021,0.0345196083000135,-2.334769809942446,0.02200105787492598,week_start_date::-13,-13,fast_food,-0.14825377157793668,-0.012936907041883758
-0.08449317271404944,0.03654182576901853,-2.3122318312208083,0.023272790035949842,week_start_date::-12,-12,fast_food,-0.15611515122132574,-0.012871194206773115
-0.06452291210662213,0.03767778124726637,-1.712492348824374,0.09058522469606381,week_start_date::-11,-11,fast_food,-0.1383713633512642,0.00932553913801995
-0.012858178347180775,0.04084506324472381,-0.31480373209709106,0.7537103267531171,week_start_date::-10,-10,fast_food,-0.09291450230683945,0.06719814561247789
0.01138205406364819,0.03605601619723787,0.3156769733346229,0.7530497535021141,week_start_date::-9,-9,fast_food,-0.05928773768293803,0.0820518458102344
0.0055485770191073085,0.034555542360988935,0.16056981427590927,0.8728271448943286,week_start_date::-8,-8,fast_food,-0.06218028600843099,0.07327744004664562
-0.021792404789903366,0.029080434356986557,-0.7493837444923773,0.4557704368827621,week_start_date::-7,-7,fast_food,-0.07879005612959702,0.035205246549790285
0.03675555699174932,0.026164071521876973,1.4048102934215085,0.16385461482585434,week_start_date::-6,-6,fast_food,-0.014526023191129542,0.08803713717462819
0.07711556014622656,0.0294727782797688,2.6165012139069876,0.010573870605345342,week_start_date::-5,-5,fast_food,0.01934891471787971,0.13488220557457342
0.08519724580144711,0.029275036334370716,2.9102353564432724,0.004648253632537748,week_start_date::-4,-4,fast_food,0.027818174586080505,0.14257631701681373
0.1124365171654826,0.024706038771300964,4.550973072060874,1.8318934601358174e-5,week_start_date::-3,-3,fast_food,0.06401268117373271,0.1608603531572325
0.10648815252998761,0.028443791104661335,3.743810103869609,3.3537272266897643e-4,week_start_date::-2,-2,fast_food,0.050738321964851396,0.16223798309512383
0.07081857842903659,0.019744416981802963,3.5867647292044675,5.678699977715415e-4,week_start_date::0,0,fast_food,0.03211952114470278,0.10951763571337039
0.06841307306299764,0.026792096805316416,2.5534796160270026,0.012517152036717565,week_start_date::1,1,fast_food,0.01590056332457747,0.12092558280141781
0.07049887774372368,0.024773960144152778,2.8456846355411223,0.005595982086526007,week_start_date::2,2,fast_food,0.02194191586118424,0.11905583962626312
0.07172109964117764,0.027389005404917253,2.6186091309581205,0.010513872457928843,week_start_date::3,3,fast_food,0.018038649047539816,0.12540355023481545
0.07966185818017398,0.025370008972877146,3.140001182709071,0.002349306730103731,week_start_date::4,4,fast_food,0.02993664059333477,0.1293870757670132
0.04474231832567517,0.031474245196474716,1.4215533381777985,0.15894818032425032,week_start_date::5,5,fast_food,-0.016947202259415275,0.10643183891076562
0.052423778665403174,0.029817784092912553,1.7581379790681322,0.08245544336763541,week_start_date::6,6,fast_food,-0.0060190781567054305,0.11086663548751177
0.1038693056976349,0.02894594114924605,3.5883893068835446,5.64824573672124e-4,week_start_date::7,7,fast_food,0.04713526104511265,0.16060335035015716
0.10545244179038811,0.027718646545150875,3.8043863945022256,2.727281455699389e-4,week_start_date::8,8,fast_food,0.0511238945618924,0.15978098901888382
0.1028196989957889,0.025971955091002755,3.958874048392601,1.5954196967339347e-4,week_start_date::9,9,fast_food,0.0519146670174235,0.1537247309741543
0.08527747339075122,0.02928832142877441,2.911654517249666,0.0046291873954652,week_start_date::10,10,fast_food,0.027872363390353372,0.14268258339114906
0.11935816366622262,0.035932354336060526,3.3217462610413673,0.001337613360432317,week_start_date::11,11,fast_food,0.04893074916754399,0.18978557816490127
0.09148415440391487,0.04122889356050794,2.2189330467879715,0.029254360295987138,week_start_date::12,12,fast_food,0.010675523025319308,0.17229278578251045
0.04741245305924898,0.0346104602581032,1.3698879675588396,0.17446131046638877,week_start_date::13,13,fast_food,-0.020424049046633287,0.11524895516513126
0.1106962755892672,0.039732245791987204,2.786056347501789,0.006626043647796118,week_start_date::14,14,fast_food,0.032821073836972275,0.18857147734156213
0.07435265800805126,0.03268157708141749,2.275063342959898,0.025512354090191203,week_start_date::15,15,fast_food,0.010296766928472978,0.13840854908762953
0.03367988627354862,0.034575485933139166,0.9740972647116971,0.33287309559296485,week_start_date::16,16,fast_food,-0.03408806615540415,0.10144783870250139
0.013745539317211033,0.03400139272380881,0.4042640085029808,0.687071075714911,week_start_date::17,17,fast_food,-0.05289719042145423,0.0803882690558763
0.0207525010863933,0.033479677131022144,0.6198536803440111,0.5370728144727479,week_start_date::18,18,fast_food,-0.0448676660904101,0.0863726682631967
-0.009109923045112645,0.03289463769457465,-0.2769424952996261,0.7825211820288849,week_start_date::19,19,fast_food,-0.07358341292647896,0.05536356683625368
-0.08780079507776475,0.04240532581588952,-2.070513393977161,0.04155036570292269,week_start_date::20,20,fast_food,-0.17091523367690822,-0.004686356478621284
-0.041908266913819534,0.036674541167976124,-1.1427073271856896,0.2564856007320896,week_start_date::21,21,fast_food,-0.11379036760305274,0.02997383377541367
-0.00553277558136339,0.02852496366802784,-0.19396258118865872,0.8466848742465787,week_start_date::22,22,fast_food,-0.06144170437069795,0.05037615320797117
-0.034619547785657616,0.03404332273231462,-1.016926228320129,0.31217963696316187,week_start_date::23,23,fast_food,-0.10134446034099426,0.03210536476967903
-0.07076576435833551,0.03863845746413757,-1.8314852352482502,0.0706596873693812,week_start_date::24,24,fast_food,-0.14649714098804514,0.004965612271374126
-0.10657894108725756,0.045985943863360516,-2.317641699471015,0.02296174301265587,week_start_date::25,25,fast_food,-0.19671139105944419,-0.016446491115070946
-0.23496960499495645,0.06723429435744444,-3.494787998305804,7.680654761734409e-4,week_start_date::26,26,fast_food,-0.36674882193554753,-0.10319038805436537
