county_fips,week_start_date,ym_date,grocery_visits,convenience_visits,fast_food_visits,restaurant_visits,pharmacy_visits,visits_total,grocery_visitors,convenience_visitors,fast_food_visitors,restaurant_visitors,pharmacy_visitors,visitors_total,visits_per_visitor,grocery_share,convenience_share,fast_food_share,restaurant_share,pharmacy_share,G,G_int,urban_dummy,rucc_code,time_limit_proxy,waiver_covered,enforced,unemployment_rate,population_total,population_18_49,g_date,event_time_week,visits_total_per1k_18_49,grocery_visits_per1k_18_49,fast_food_visits_per1k_18_49,convenience_visits_per1k_18_49,l_total_visits,l_grocery_visits,l_fast_food_visits,l_convenience_visits,l_visitors_total
26001,2017-01-02,2017-01-01,5267,0,967,984,467,7685,3426,0,857,908,311,5502,1.3967648127953471,0.6853610930383864,0,0.1258295380611581,0.1280416395575797,0.060767729342875734,2018-07,24222,0,9,0,1,0,9.6,10413,2540,2018-07-01,-77,3025.5905511811025,2073.622047244094,380.70866141732284,0,8.94715577112479,8.569406062863171,6.875232087276577,0,8.613048677059759
26003,2017-01-02,2017-01-01,2954,0,1010,3683,1711,9358,2232,0,804,3220,1606,7862,1.1902823708979904,0.315665740542851,0,0.10792904466766404,0.3935670014960462,0.18283821329343877,2018-07,24222,0,9,0,1,0,10.5,9254,3269,2018-07-01,-77,2862.6491281737535,903.6402569593148,308.9629856225145,0,9.144093726157257,7.991253929840199,6.918695219020472,0,8.969923491991516
26005,2017-01-02,2017-01-01,87686,11064,81171,135433,30276,345630,69789,9836,72853,105781,26205,284464,1.2150219359919006,0.2536990423285016,0.03201111014668866,0.23484940543355612,0.39184387929288544,0.0875965627983682,2018-01,24216,0,4,0,1,0,4.9,114145,43687,2018-01-01,-52,7911.50685558633,2007.141712637627,1858.0126811179528,253.25611738045646,12.75312701096339,11.38152893476156,11.30432563909686,9.31154225248515,12.55836550213349
26007,2017-01-02,2017-01-01,26360,1529,17808,15210,6592,67499,19467,1426,16158,13929,6071,57051,1.1831343885295613,0.3905243040637639,0.022652187439813922,0.2638261307574927,0.2253366716543949,0.09766070608453459,2018-07,24222,0,7,0,1,0,7.1,28730,9789,2018-07-01,-77,6895.392787823066,2692.8184697109,1819.1847992644805,156.19572990090919,11.119882876860622,10.179640924163953,9.787459226476006,7.333023014386481,10.951718411643313
26009,2017-01-02,2017-01-01,6005,78,3260,4258,1992,15593,4698,78,2952,3631,1764,13123,1.1882191572049075,0.38510870262297187,0.005002244596934522,0.20906817161546848,0.27307124991983583,0.12774963124478933,2018-07,24222,0,8,0,1,0,7.9,23133,7099,2018-07-01,-77,2196.5065502183406,845.8937878574447,459.2196083955487,10.987463022960979,9.654641503869545,8.700514248543275,8.089789175789319,4.3694478524670215,9.482197894080992
26011,2017-01-02,2017-01-01,8119,26,8612,5448,3395,25600,6697,26,7942,4101,2958,21724,1.17842018044559,0.3171484375,0.001015625,0.33640625,0.2128125,0.1326171875,2018-07,24222,0,8,0,1,0,10.1,15238,4976,2018-07-01,-77,5144.694533762058,1631.6318327974277,1730.7073954983923,5.22508038585209,10.150386692204734,9.002085433155724,9.061027968789174,3.295836866004329,9.986218950133592
26013,2017-01-02,2017-01-01,1972,0,1299,6857,1243,11371,1479,0,1064,5476,778,8797,1.2925997499147437,0.17342362149327237,0,0.11423797379298214,0.6030252396447102,0.10931316506903527,2018-07,24222,0,9,0,1,0,8.7,8580,3457,2018-07-01,-77,3289.2681515765116,570.4367949088805,375.75932889788834,0,9.33890947277089,7.587310506022615,7.170119543449628,0,9.082279701908664
26015,2017-01-02,2017-01-01,41938,7560,25875,27298,7771,110442,33846,5866,22736,22415,6770,91633,1.2052644789540885,0.3797287263903225,0.06845221926441028,0.23428586950616614,0.24717046051321057,0.07036272432589051,2018-01,24216,1,1,0,1,0,4.9,59607,21861,2018-01-01,-52,5052.0104295320425,1918.393486116829,1183.6146562371346,345.821325648415,11.612254829746142,10.643971460585572,10.161071177163876,8.93075873555827,11.425557660831625
26017,2017-01-02,2017-01-01,107515,18395,105543,72415,31915,335783,85965,15287,95488,63944,29123,289807,1.1586435110263038,0.3201919096559385,0.05478240411217959,0.31431906916073776,0.21566011382351102,0.09504650324763314,2018-07,24222,1,3,0,1,0,6.7,105350,40017,2018-07-01,-77,8391.008821250969,2686.733138416173,2637.4540820151437,459.6796361546343,12.724223375081232,11.585394952683998,11.566883206563613,9.819888528659815,12.576973913732697
26019,2017-01-02,2017-01-01,5806,0,4945,19514,650,30915,4590,0,3816,15338,647,24391,1.2674757082530441,0.18780527252142973,0,0.15995471453986737,0.6312146207342714,0.021025392204431507,2018-07,24222,1,3,0,1,0,9.5,17462,5622,2018-07-01,-77,5498.9327641408745,1032.728566346496,879.5802205620776,0,10.33902912822676,8.66681936537205,8.506334448081361,0,10.10201048866809
26021,2017-01-02,2017-01-01,151453,9535,134767,138219,75533,509507,119029,8271,117827,120109,67066,432302,1.1785904298384,0.29725401221180475,0.018714168794540603,0.2645047074917518,0.2712798842802945,0.14824722722160835,2018-01,24216,1,3,0,1,0,5.8,154948,58328,2018-01-01,-52,8735.204361541626,2596.5745439583047,2310.502674530243,163.47208887669728,13.141200833189949,11.928037227463493,11.811310060555146,9.16282938930513,12.976882010256904
26023,2017-01-02,2017-01-01,39158,4327,38884,17414,14378,114161,29845,3764,34673,15619,12248,96149,1.187334241645779,0.34300680617724094,0.037902611224498735,0.3406066870472403,0.15253895813806817,0.12594493741295187,2018-07,24222,0,6,0,1,0,5.5,43543,16301,2018-07-01,-77,7003.312680203669,2402.1839150972337,2385.3751303601007,265.4438378013619,11.645373771268456,10.5753855600569,10.568363851129044,8.372860820526318,11.473664751016926
26025,2017-01-02,2017-01-01,189159,25345,131304,147362,45660,538830,152432,22159,117667,125451,41721,459430,1.1728228457001066,0.35105506374923445,0.04703709889946736,0.24368353655141695,0.2734851437373569,0.08473915706252436,2018-07,24222,1,3,0,1,0,5.3,134327,52794,2018-07-01,-77,10206.273440163654,3582.96397317877,2487.100806909876,480.0734931999848,13.197157257126804,12.150348496757813,11.785278140296985,10.14037620564201,13.037744046281361
26027,2017-01-02,2017-01-01,11047,2461,19106,6998,7517,47129,9056,2255,15806,5838,6458,39413,1.1957729683099485,0.23439920218973456,0.05221837934180653,0.40539795030660525,0.14848607014789195,0.15949839801396168,2018-07,24222,1,2,0,1,0,5.4,51397,18508,2018-07-01,-77,2546.412362221742,596.8770261508537,1032.3103522800952,132.96952669116058,10.760665019917777,9.310004695089129,9.857810039039476,7.808729306744399,10.581876362120529
26029,2017-01-02,2017-01-01,25057,1238,11504,20186,14313,72298,18636,1063,9989,15285,10925,55898,1.2933915345808438,0.34657943511577083,0.017123571883039642,0.15911920108440067,0.279205510525879,0.19797228139090983,2018-07,24222,0,7,0,1,0,7.4,26160,8585,2018-07-01,-77,8421.432731508445,2918.6953989516596,1340.011648223646,144.20500873616774,11.18856557679256,10.128948416805498,9.350537002469466,7.122059881629142,10.931301769895523
26031,2017-01-02,2017-01-01,10115,519,29179,6486,4004,50303,8200,466,22648,5060,3631,40005,1.2574178227721535,0.2010814464346063,0.010317476094865117,0.5800648072679562,0.1289386318907421,0.07959763831183031,2018-07,24222,0,7,0,1,0,17.3,25475,8234,2018-07-01,-77,6109.181442798154,1228.4430410493078,3543.7211561816853,63.031333495263546,10.825839875788878,9.221873607789856,10.281238822076777,6.253828811575473,10.596784721847198
26033,2017-01-02,2017-01-01,8327,2878,11612,15510,8808,47135,6955,1895,10069,12355,7320,38594,1.2213038296108203,0.17666277712952158,0.06105866129203352,0.24635621088363213,0.3290548424737456,0.18686750822106715,2018-07,24222,0,7,0,1,0,9.8,38023,16655,2018-07-01,-77,2830.0810567397175,499.96997898528974,697.2080456319424,172.80096067247072,10.760792319262357,9.027378610294805,9.359880439245758,7.965198290612176,10.560878013383954
26035,2017-01-02,2017-01-01,31392,621,39734,14698,14094,100539,23305,597,35009,12170,12252,83333,1.2064728258913036,0.3122370423417778,0.006176707546325306,0.39520981907518477,0.14619202498532907,0.14018440605138305,2018-07,24222,0,8,0,1,0,9,30597,10329,2018-07-01,-77,9733.662503630554,3039.209991286669,3846.838996998741,60.12198663955853,11.518310937246566,10.354340217107467,10.58998769037428,6.432940092739179,11.330611908144274
26037,2017-01-02,2017-01-01,77537,1661,44370,35472,10453,169493,57718,1635,40585,30844,8281,139063,1.218821685135514,0.4574643200604155,0.009799814741611748,0.26178072250771417,0.20928297923808062,0.061672163452177964,2018-01,24216,1,2,0,1,0,4.1,77321,30801,2018-01-01,-52,5502.840816856596,2517.353332684004,1440.5376448816596,53.9268205577741,12.040572806946022,11.258523417753246,10.700341381869716,7.415776975415394,11.842689537801377
26039,2017-01-02,2017-01-01,10574,956,10048,1375,4584,27537,8358,908,9085,1142,3842,23335,1.1800728519391472,0.3839924465264916,0.034716926317318514,0.3648908740966699,0.04993281766350728,0.16646693539601265,2018-07,24222,0,9,0,1,0,8.6,13821,4347,2018-07-01,-77,6334.71359558316,2432.4821716126066,2311.4791810443985,219.92178513917645,10.223322148004318,9.266248003914479,9.21522840604896,6.863803391452954,10.057752511547557
